Z;A;E[MeV];U=000MeV;U=002MeV;U=005MeV;U=008MeV;U=010MeV;U=020MeV;U=030MeV;U=050MeV;U=070MeV;U=100MeV
50;112;0.100;3.469E-11;2.252E-10;5.110E-10;7.967E-10;9.873E-10;1.940E-09;2.892E-09;4.798E-09;6.703E-09;9.560E-09
50;112;0.200;1.290E-10;3.195E-10;6.053E-10;8.910E-10;1.082E-09;2.034E-09;2.987E-09;4.892E-09;6.797E-09;9.655E-09
50;112;0.300;2.610E-10;4.515E-10;7.373E-10;1.023E-09;1.214E-09;2.166E-09;3.119E-09;5.024E-09;6.929E-09;9.787E-09
50;112;0.400;4.096E-10;6.001E-10;8.859E-10;1.172E-09;1.362E-09;2.315E-09;3.267E-09;5.172E-09;7.078E-09;9.935E-09
50;112;0.500;5.615E-10;7.521E-10;1.038E-09;1.324E-09;1.514E-09;2.467E-09;3.419E-09;5.324E-09;7.230E-09;1.009E-08
50;112;0.600;7.115E-10;9.020E-10;1.188E-09;1.474E-09;1.664E-09;2.617E-09;3.569E-09;5.474E-09;7.380E-09;1.024E-08
50;112;0.700;8.589E-10;1.049E-09;1.335E-09;1.621E-09;1.811E-09;2.764E-09;3.717E-09;5.622E-09;7.527E-09;1.038E-08
50;112;0.800;1.005E-09;1.196E-09;1.482E-09;1.767E-09;1.958E-09;2.910E-09;3.863E-09;5.768E-09;7.673E-09;1.053E-08
50;112;0.900;1.154E-09;1.344E-09;1.630E-09;1.916E-09;2.106E-09;3.059E-09;4.011E-09;5.916E-09;7.822E-09;1.068E-08
50;112;1.000;1.305E-09;1.495E-09;1.781E-09;2.067E-09;2.257E-09;3.210E-09;4.162E-09;6.067E-09;7.973E-09;1.083E-08
50;112;1.100;1.462E-09;1.653E-09;1.939E-09;2.224E-09;2.415E-09;3.368E-09;4.320E-09;6.225E-09;8.130E-09;1.099E-08
50;112;1.200;1.626E-09;1.817E-09;2.103E-09;2.388E-09;2.579E-09;3.531E-09;4.484E-09;6.389E-09;8.294E-09;1.115E-08
50;112;1.300;1.800E-09;1.990E-09;2.276E-09;2.562E-09;2.752E-09;3.705E-09;4.658E-09;6.563E-09;8.468E-09;1.133E-08
50;112;1.400;1.983E-09;2.173E-09;2.459E-09;2.745E-09;2.935E-09;3.888E-09;4.841E-09;6.746E-09;8.651E-09;1.151E-08
50;112;1.500;2.177E-09;2.368E-09;2.653E-09;2.939E-09;3.130E-09;4.082E-09;5.035E-09;6.940E-09;8.845E-09;1.170E-08
50;112;1.600;2.383E-09;2.573E-09;2.859E-09;3.145E-09;3.335E-09;4.288E-09;5.240E-09;7.146E-09;9.051E-09;1.191E-08
50;112;1.700;2.601E-09;2.792E-09;3.078E-09;3.363E-09;3.554E-09;4.506E-09;5.459E-09;7.364E-09;9.269E-09;1.213E-08
50;112;1.800;2.832E-09;3.022E-09;3.308E-09;3.594E-09;3.785E-09;4.737E-09;5.690E-09;7.595E-09;9.500E-09;1.236E-08
50;112;1.900;3.077E-09;3.267E-09;3.553E-09;3.839E-09;4.029E-09;4.982E-09;5.934E-09;7.839E-09;9.745E-09;1.260E-08
50;112;2.000;3.336E-09;3.526E-09;3.812E-09;4.098E-09;4.288E-09;5.241E-09;6.194E-09;8.099E-09;1.000E-08;1.286E-08
50;112;2.100;3.610E-09;3.801E-09;4.086E-09;4.372E-09;4.563E-09;5.515E-09;6.468E-09;8.373E-09;1.028E-08;1.314E-08
50;112;2.200;3.899E-09;4.089E-09;4.375E-09;4.661E-09;4.851E-09;5.804E-09;6.757E-09;8.662E-09;1.057E-08;1.342E-08
50;112;2.300;4.203E-09;4.394E-09;4.680E-09;4.965E-09;5.156E-09;6.108E-09;7.061E-09;8.966E-09;1.087E-08;1.373E-08
50;112;2.400;4.524E-09;4.715E-09;5.001E-09;5.286E-09;5.477E-09;6.429E-09;7.382E-09;9.287E-09;1.119E-08;1.405E-08
50;112;2.500;4.862E-09;5.053E-09;5.339E-09;5.625E-09;5.815E-09;6.768E-09;7.720E-09;9.625E-09;1.153E-08;1.439E-08
50;112;2.600;5.217E-09;5.408E-09;5.694E-09;5.979E-09;6.170E-09;7.122E-09;8.075E-09;9.980E-09;1.189E-08;1.474E-08
50;112;2.700;5.590E-09;5.781E-09;6.067E-09;6.352E-09;6.543E-09;7.495E-09;8.448E-09;1.035E-08;1.226E-08;1.512E-08
50;112;2.800;5.982E-09;6.173E-09;6.459E-09;6.744E-09;6.935E-09;7.887E-09;8.840E-09;1.075E-08;1.265E-08;1.551E-08
50;112;2.900;6.393E-09;6.583E-09;6.869E-09;7.155E-09;7.345E-09;8.298E-09;9.250E-09;1.116E-08;1.306E-08;1.592E-08
50;112;3.000;6.822E-09;7.012E-09;7.298E-09;7.584E-09;7.774E-09;8.727E-09;9.680E-09;1.158E-08;1.349E-08;1.635E-08
50;112;3.100;7.272E-09;7.463E-09;7.748E-09;8.034E-09;8.225E-09;9.177E-09;1.013E-08;1.203E-08;1.394E-08;1.680E-08
50;112;3.200;7.742E-09;7.933E-09;8.218E-09;8.504E-09;8.695E-09;9.647E-09;1.060E-08;1.251E-08;1.441E-08;1.727E-08
50;112;3.300;8.235E-09;8.425E-09;8.711E-09;8.997E-09;9.187E-09;1.014E-08;1.109E-08;1.300E-08;1.490E-08;1.776E-08
50;112;3.400;8.752E-09;8.942E-09;9.228E-09;9.514E-09;9.704E-09;1.066E-08;1.161E-08;1.351E-08;1.542E-08;1.828E-08
50;112;3.500;9.290E-09;9.480E-09;9.766E-09;1.005E-08;1.024E-08;1.119E-08;1.215E-08;1.405E-08;1.596E-08;1.882E-08
50;112;3.600;9.845E-09;1.004E-08;1.032E-08;1.061E-08;1.080E-08;1.175E-08;1.270E-08;1.461E-08;1.651E-08;1.937E-08
50;112;3.700;1.043E-08;1.062E-08;1.090E-08;1.119E-08;1.138E-08;1.233E-08;1.328E-08;1.519E-08;1.709E-08;1.995E-08
50;112;3.800;1.104E-08;1.123E-08;1.152E-08;1.180E-08;1.199E-08;1.295E-08;1.390E-08;1.580E-08;1.771E-08;2.057E-08
50;112;3.900;1.167E-08;1.187E-08;1.215E-08;1.244E-08;1.263E-08;1.358E-08;1.453E-08;1.644E-08;1.834E-08;2.120E-08
50;112;4.000;1.233E-08;1.252E-08;1.281E-08;1.310E-08;1.329E-08;1.424E-08;1.519E-08;1.710E-08;1.900E-08;2.186E-08
50;112;4.100;1.303E-08;1.322E-08;1.350E-08;1.379E-08;1.398E-08;1.493E-08;1.589E-08;1.779E-08;1.970E-08;2.255E-08
50;112;4.200;1.375E-08;1.394E-08;1.422E-08;1.451E-08;1.470E-08;1.565E-08;1.661E-08;1.851E-08;2.042E-08;2.327E-08
50;112;4.300;1.449E-08;1.468E-08;1.497E-08;1.526E-08;1.545E-08;1.640E-08;1.735E-08;1.926E-08;2.116E-08;2.402E-08
50;112;4.400;1.527E-08;1.546E-08;1.575E-08;1.604E-08;1.623E-08;1.718E-08;1.813E-08;2.004E-08;2.194E-08;2.480E-08
50;112;4.500;1.609E-08;1.628E-08;1.657E-08;1.685E-08;1.704E-08;1.799E-08;1.895E-08;2.085E-08;2.276E-08;2.562E-08
50;112;4.600;1.693E-08;1.712E-08;1.741E-08;1.769E-08;1.788E-08;1.884E-08;1.979E-08;2.169E-08;2.360E-08;2.646E-08
50;112;4.700;1.781E-08;1.800E-08;1.828E-08;1.857E-08;1.876E-08;1.971E-08;2.066E-08;2.257E-08;2.448E-08;2.733E-08
50;112;4.800;1.873E-08;1.892E-08;1.920E-08;1.949E-08;1.968E-08;2.063E-08;2.158E-08;2.349E-08;2.539E-08;2.825E-08
50;112;4.900;1.968E-08;1.987E-08;2.016E-08;2.044E-08;2.063E-08;2.159E-08;2.254E-08;2.444E-08;2.635E-08;2.921E-08
50;112;5.000;2.067E-08;2.086E-08;2.115E-08;2.143E-08;2.162E-08;2.257E-08;2.353E-08;2.543E-08;2.734E-08;3.020E-08
50;112;5.100;2.170E-08;2.189E-08;2.218E-08;2.246E-08;2.265E-08;2.361E-08;2.456E-08;2.646E-08;2.837E-08;3.123E-08
50;112;5.200;2.278E-08;2.297E-08;2.325E-08;2.354E-08;2.373E-08;2.468E-08;2.563E-08;2.754E-08;2.945E-08;3.230E-08
