,Z,A,E,dE,f1,df1
0,3,6,6.0,0.0,6.65e-09,1.4500000000000002e-10
1,3,6,6.5,0.0,7.609999999999998e-09,1.33e-10
2,3,6,7.0,0.0,8.92e-09,1.2399999999999999e-10
3,3,6,7.5,0.0,1.04e-08,0.0
4,3,6,8.0,0.0,1.18e-08,0.0
5,3,6,8.5,0.0,1.2099999999999999e-08,0.0
6,3,6,9.0,0.0,1.25e-08,9.640000000000001e-11
7,3,6,9.5,0.0,1.3e-08,9.13e-11
8,3,6,10.0,0.0,1.28e-08,8.670000000000001e-11
9,3,6,10.5,0.0,1.31e-08,8.26e-11
10,3,6,11.0,0.0,1.29e-08,7.890000000000001e-11
11,3,6,11.5,0.0,1.29e-08,7.54e-11
12,3,6,12.5,0.0,1.1200000000000001e-08,6.940000000000001e-11
13,3,6,13.0,0.0,1.07e-08,1.33e-10
14,3,6,13.5,0.0,9.96e-09,1.28e-10
15,3,6,14.5,0.0,9.09e-09,1.2e-10
16,3,6,15.0,0.0,9.37e-09,1.1599999999999999e-10
17,3,6,15.5,0.0,9.57e-09,1.12e-10
18,3,6,16.0,0.0,9.109999999999999e-09,1.6299999999999998e-10
19,3,6,16.5,0.0,8.36e-09,1.5800000000000002e-10
20,3,6,17.0,0.0,8.370000000000001e-09,3.57e-10
21,3,6,17.5,0.0,8.62e-09,4.46e-10
22,3,6,18.0,0.0,9.3e-09,6.75e-10
23,3,6,18.5,0.0,1.03e-08,7.969999999999999e-10
24,3,6,19.0,0.0,1.08e-08,9.589999999999999e-10
25,3,6,19.5,0.0,1.1100000000000002e-08,1.11e-09
26,3,6,20.0,0.0,1.1000000000000001e-08,1.13e-09
27,3,6,20.5,0.0,1.07e-08,9.73e-10
28,3,6,21.0,0.0,1.03e-08,8.67e-10
29,3,6,21.5,0.0,9.64e-09,9.279999999999999e-10
30,3,6,22.0,0.0,1.02e-08,1.66e-09
31,3,6,22.5,0.0,1.03e-08,1.7300000000000002e-09
32,3,6,23.0,0.0,1.38e-08,1.92e-09
33,3,6,23.5,0.0,1.69e-08,2.25e-09
34,3,6,24.0,0.0,1.46e-08,2.39e-09
35,3,6,24.5,0.0,1.26e-08,2.23e-09
36,3,6,25.0,0.0,1.05e-08,1.8e-09
37,3,6,25.5,0.0,8.640000000000002e-09,1.6300000000000002e-09
38,3,6,26.0,0.0,7.31e-09,1.4300000000000002e-09
39,3,6,26.5,0.0,6.55e-09,1.4400000000000002e-09
40,3,7,7.5,0.0,8.209999999999999e-09,2.3099999999999998e-10
41,3,7,8.0,0.0,8.46e-09,2.17e-10
42,3,7,8.5,0.0,8.98e-09,3.06e-10
43,3,7,9.0,0.0,9.159999999999999e-09,2.89e-10
44,3,7,9.5,0.0,9.769999999999999e-09,2.74e-10
45,3,7,10.0,0.0,1.01e-08,9.54e-10
46,3,7,10.5,0.0,1.3899999999999999e-08,9.09e-10
47,3,7,11.0,0.0,1.65e-08,8.67e-10
48,3,7,11.5,0.0,1.8300000000000002e-08,6.03e-10
49,3,7,12.0,0.0,1.26e-08,4.34e-10
50,3,7,12.5,0.0,1.91e-08,1.0400000000000001e-09
51,3,7,13.0,0.0,2.11e-08,9.339999999999999e-10
52,3,7,13.5,0.0,1.96e-08,3.21e-10
53,3,7,14.0,0.0,2.04e-08,1.24e-09
54,3,7,14.5,0.0,2.15e-08,1.2e-09
55,3,7,15.0,0.0,1.99e-08,3.4700000000000004e-10
56,3,7,15.5,0.0,1.96e-08,1.06e-09
57,3,7,16.0,0.0,2.12e-08,0.0
58,3,7,16.5,0.0,1.89e-08,5.26e-11
59,3,7,17.0,0.0,2.06e-08,8.160000000000001e-10
60,3,7,17.5,0.0,1.78e-08,4.959999999999999e-10
61,3,7,18.0,0.0,1.72e-08,6.75e-10
62,3,7,18.5,0.0,1.48e-08,6.56e-10
63,3,7,19.0,0.0,1.46e-08,5.48e-10
64,3,7,19.5,0.0,1.44e-08,7.56e-10
65,3,7,20.0,0.0,1.48e-08,3.4700000000000004e-10
66,3,7,20.5,0.0,1.27e-08,4.23e-10
67,3,7,21.0,0.0,9.499999999999999e-09,4.13e-10
68,3,7,21.5,0.0,1.14e-08,3.23e-10
69,3,7,22.0,0.0,1.1100000000000002e-08,3.15e-10
70,3,7,22.5,0.0,1.16e-08,3.85e-10
71,3,7,23.0,0.0,9.159999999999999e-09,5.28e-10
72,3,7,23.5,0.0,8.6e-09,1.11e-09
73,3,7,24.0,0.0,8.240000000000001e-09,1.0800000000000002e-09
74,3,7,24.5,0.0,8.14e-09,1.06e-09
75,3,7,25.0,0.0,7.7e-09,1.0400000000000001e-09
76,3,7,25.5,0.0,7.35e-09,1.19e-09
77,3,7,26.0,0.0,7.21e-09,1.1699999999999999e-09
78,3,7,26.5,0.0,7e-09,1.15e-09
79,3,7,27.0,0.0,6.36e-09,1.19e-09
80,4,9,2.11,0.0,4.11e-10,2.8800000000000004e-09
81,4,9,2.2,0.0,3.94e-10,2.7600000000000004e-09
82,4,9,2.25,0.0,3.85e-10,3.4700000000000002e-09
83,4,9,2.28,0.0,7.610000000000001e-10,3.04e-09
84,4,9,2.3,0.0,3.77e-10,2.64e-09
85,4,9,2.33,0.0,3.7199999999999996e-10,2.98e-09
86,4,9,2.38,0.0,7.290000000000001e-10,2.92e-09
87,4,9,2.39,0.0,3.63e-10,3.27e-09
88,4,9,2.42,0.0,7.17e-10,2.51e-09
89,4,9,2.43,0.0,3.57e-10,1.7800000000000003e-09
90,4,9,2.44,0.0,7.109999999999999e-10,3.55e-09
91,4,9,2.46,0.0,3.5299999999999997e-10,2.8199999999999998e-09
92,4,9,2.48,0.0,3.5000000000000003e-10,3.85e-09
93,4,9,2.48,0.0,3.5000000000000003e-10,2.45e-09
94,4,9,2.51,0.0,6.91e-10,2.7600000000000004e-09
95,4,9,2.51,0.0,6.91e-10,4.15e-09
96,4,9,2.55,0.0,3.4e-10,3.0599999999999998e-09
97,4,9,2.59,0.0,3.3500000000000003e-10,3.68e-09
98,4,9,2.59,0.0,3.3500000000000003e-10,2.6800000000000003e-09
99,4,9,2.64,0.0,6.569999999999999e-10,1.9699999999999996e-09
100,4,9,2.69,0.0,6.45e-10,2.26e-09
101,4,9,2.73,0.0,6.35e-10,2.54e-09
102,4,9,2.74,0.0,6.33e-10,2.53e-09
103,4,9,2.79,0.0,3.11e-10,2.49e-09
104,4,9,2.84,0.0,9.16e-10,2.7500000000000002e-09
105,4,9,2.88,0.0,6.02e-10,2.1100000000000004e-09
106,4,9,2.94,0.0,5.899999999999999e-10,2.6600000000000003e-09
107,4,9,2.98,0.0,5.820000000000001e-10,2.04e-09
108,4,9,3.05,0.0,2.84e-10,2.5600000000000003e-09
109,4,9,3.08,0.0,5.63e-10,2.53e-09
110,4,9,3.14,0.0,8.29e-10,2.21e-09
111,4,9,3.19,0.0,5.44e-10,3.81e-09
112,4,9,3.28,0.0,5.29e-10,3.17e-09
113,4,9,3.3,0.0,2.63e-10,3.15e-09
114,4,9,3.39,0.0,5.12e-10,2.8100000000000004e-09
115,4,9,3.48,0.0,4.979999999999999e-10,2.49e-09
116,4,9,3.58,0.0,7.27e-10,1.7000000000000001e-09
117,4,9,3.58,0.0,4.85e-10,1.7000000000000001e-09
118,4,9,3.75,0.0,9.25e-10,2.0800000000000003e-09
119,4,9,3.87,0.0,4.48e-10,2.2399999999999997e-09
120,4,9,4.01,0.0,4.33e-10,3.03e-09
121,4,9,4.07,0.0,4.26e-10,2.98e-09
122,4,9,4.19,0.0,4.14e-10,2.28e-09
123,4,9,4.33,0.0,4.0099999999999996e-10,2.8000000000000003e-09
124,4,9,4.37,0.0,3.9699999999999997e-10,2.58e-09
125,4,9,4.49,0.0,3.86e-10,2.7e-09
126,4,9,4.56,0.0,3.8e-10,2.85e-09
127,4,9,4.56,0.0,3.8e-10,2.47e-09
128,4,9,4.7,0.0,3.69e-10,2.4e-09
129,4,9,4.91,0.0,3.5299999999999997e-10,2.65e-09
130,4,9,5.09,0.0,5.11e-10,2.5600000000000003e-09
131,4,9,5.2,0.0,5e-10,3.3399999999999996e-09
132,4,9,5.29,0.0,3.28e-10,3.12e-09
133,4,9,5.42,0.0,3.2000000000000003e-10,2.72e-09
134,4,9,5.57,0.0,3.11e-10,2.02e-09
135,4,9,5.71,0.0,3.04e-10,2.28e-09
136,4,9,5.83,0.0,5.95e-10,2.0800000000000003e-09
137,4,9,5.95,0.0,2.92e-10,1.9e-09
138,4,9,6.11,0.0,2.84e-10,2.13e-09
139,6,13,7.5,0.0,4.63e-09,0.0
140,6,13,8.0,0.0,1.08e-08,0.0
141,6,13,8.5,0.0,4.08e-09,0.0
142,6,13,9.0,0.0,5.7799999999999995e-09,0.0
143,6,13,9.5,0.0,6.3900000000000005e-09,0.0
144,6,13,10.0,0.0,1.04e-08,0.0
145,6,13,10.5,0.0,1.16e-08,0.0
146,6,13,11.0,0.0,1.89e-08,0.0
147,6,13,11.5,0.0,1.51e-08,0.0
148,6,13,12.0,0.0,2.1e-08,0.0
149,6,13,12.5,0.0,2.08e-08,0.0
150,6,13,13.0,0.0,2.2000000000000002e-08,0.0
151,6,13,13.5,0.0,2.57e-08,0.0
152,6,13,14.0,0.0,2.23e-08,0.0
153,6,13,14.5,0.0,1.44e-08,0.0
154,6,13,15.0,0.0,2.49e-08,0.0
155,6,13,15.5,0.0,1.4499999999999999e-08,0.0
156,6,13,16.0,0.0,1.25e-08,0.0
157,6,13,16.5,0.0,1.58e-08,0.0
158,6,13,17.0,0.0,1.22e-08,0.0
159,6,13,17.5,0.0,1.14e-08,0.0
160,6,13,18.0,0.0,1.1100000000000002e-08,0.0
161,6,13,18.5,0.0,1.69e-08,0.0
162,6,13,19.0,0.0,1.37e-08,0.0
163,6,13,19.5,0.0,2.0499999999999998e-08,0.0
164,6,13,20.0,0.0,2.56e-08,0.0
165,6,13,20.5,0.0,3.98e-08,0.0
166,6,13,21.0,0.0,3.76e-08,0.0
167,6,13,21.5,0.0,2.54e-08,0.0
168,6,13,22.0,0.0,3.08e-08,0.0
169,6,13,22.5,0.0,4.32e-08,0.0
170,6,13,23.0,0.0,5.54e-08,0.0
171,6,13,23.5,0.0,6.13e-08,0.0
172,6,13,24.0,0.0,5.8200000000000005e-08,0.0
173,6,13,24.5,0.0,5.91e-08,0.0
174,6,13,25.0,0.0,4.75e-08,0.0
175,6,13,25.5,0.0,3.91e-08,0.0
176,6,13,26.0,0.0,3.84e-08,0.0
177,6,13,26.5,0.0,3.24e-08,0.0
178,6,13,27.0,0.0,2.8599999999999998e-08,0.0
179,6,13,27.5,0.0,2.8999999999999998e-08,0.0
180,6,13,28.0,0.0,2.85e-08,0.0
181,6,13,28.5,0.0,2.28e-08,0.0
182,6,13,29.0,0.0,2.2400000000000002e-08,0.0
183,6,13,29.5,0.0,2.06e-08,0.0
184,6,13,30.0,0.0,2.02e-08,0.0
185,6,12,18.8,0.0,6e-09,0.0
186,6,12,19.0,0.0,7.3e-09,0.0
187,6,12,19.2,0.0,7.68e-09,0.0
188,6,12,19.4,0.0,1.03e-08,0.0
189,6,12,19.6,0.0,6.64e-09,0.0
190,6,12,19.8,0.0,8.320000000000001e-09,0.0
191,6,12,20.0,0.0,1.4299999999999999e-08,0.0
192,6,12,20.2,0.0,1.16e-08,0.0
193,6,12,20.4,0.0,1.91e-08,0.0
194,6,12,20.6,0.0,2.23e-08,0.0
195,6,12,20.8,0.0,2.5e-08,0.0
196,6,12,21.0,0.0,2.93e-08,0.0
197,6,12,21.2,0.0,3.48e-08,0.0
198,6,12,21.4,0.0,4.22e-08,0.0
199,6,12,21.6,0.0,4.9400000000000006e-08,0.0
200,6,12,21.8,0.0,6.01e-08,0.0
201,6,12,22.0,0.0,6.82e-08,0.0
202,6,12,22.2,0.0,6.76e-08,0.0
203,6,12,22.4,0.0,7.089999999999999e-08,0.0
204,6,12,22.6,0.0,7.33e-08,0.0
205,6,12,22.8,0.0,7.65e-08,0.0
206,6,12,23.0,0.0,7.47e-08,0.0
207,6,12,23.2,0.0,7.37e-08,0.0
208,6,12,23.4,0.0,7.15e-08,0.0
209,6,12,23.6,0.0,6.62e-08,0.0
210,6,12,23.8,0.0,6.67e-08,0.0
211,6,12,24.0,0.0,6.04e-08,0.0
212,6,12,24.2,0.0,5.2699999999999995e-08,0.0
213,6,12,24.4,0.0,4.66e-08,0.0
214,6,12,24.6,0.0,4.4100000000000004e-08,0.0
215,6,12,24.8,0.0,4.16e-08,0.0
216,6,12,25.0,0.0,3.85e-08,0.0
217,6,12,25.2,0.0,3.96e-08,0.0
218,6,12,25.4,0.0,4.0300000000000004e-08,0.0
219,6,12,25.6,0.0,4.34e-08,0.0
220,6,12,25.8,0.0,4.1699999999999996e-08,0.0
221,6,12,26.0,0.0,3.84e-08,0.0
222,6,12,26.2,0.0,3.58e-08,0.0
223,6,12,26.4,0.0,3.58e-08,0.0
224,6,12,26.6,0.0,3.1299999999999996e-08,0.0
225,6,12,26.8,0.0,2.9100000000000002e-08,0.0
226,6,12,27.0,0.0,2.6e-08,0.0
227,6,12,27.2,0.0,2.74e-08,0.0
228,6,12,27.4,0.0,2.6e-08,0.0
229,6,14,9.0,0.0,9.64e-10,0.0
230,6,14,9.5,0.0,1.8299999999999999e-09,0.0
231,6,14,10.0,0.0,2.6e-09,0.0
232,6,14,10.5,0.0,3.3e-09,0.0
233,6,14,11.0,0.0,9.46e-09,0.0
234,6,14,11.5,0.0,2.04e-08,0.0
235,6,14,12.0,0.0,9.4e-09,0.0
236,6,14,12.5,0.0,1.6e-08,0.0
237,6,14,13.0,0.0,2.3399999999999998e-08,0.0
238,6,14,13.5,0.0,2.76e-08,0.0
239,6,14,14.0,0.0,3.59e-08,0.0
240,6,14,14.5,0.0,4.13e-08,0.0
